Type,Status,City,State,PostalCode,GenderCode,BirthDate,MaritalStatus,Enrolled on ,Living status
Individual,Active,Hyderabad,TELANGANA,500060,FEMALE,31-Dec-85,M,28-May-19,couple with children
Individual,Active,Bengaluru,KARNATAKA,560043,FEMALE,26-Aug-89,M,28-May-19,couple with children
Individual,Active,Hyderabad,TELANGANA,501218,FEMALE,14-Jun-90,M,15-Nov-18,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400025,MALE,3-Sep-74,M,15-Nov-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500032,MALE,19-Dec-47,M,15-Nov-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500047,MALE,12-Apr-42,M,15-Nov-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500035,MALE,31-Mar-79,M,15-Nov-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500004,FEMALE,9-Nov-92,M,15-Nov-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500049,FEMALE,4-Oct-96,M,15-Nov-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500011,MALE,22-Jun-66,M,15-Nov-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500091,MALE,18-Mar-63,M,15-Nov-18,couple with children
Individual,Active,Jaipur City,RAJASTHAN,302019,MALE,9-Oct-86,M,15-Nov-18,couple with children
Individual,Active,Bengaluru,KARNATAKA,560038,MALE,2-Jan-75,M,15-Nov-18,couple with children
Individual,Active,Bengaluru,KARNATAKA,560097,FEMALE,5-Aug-83,M,15-Nov-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500018,MALE,5-May-99,M,15-Nov-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500018,MALE,6-Mar-91,M,15-Nov-18,couple with children
Individual,Active,Delhi,DELHI,110092,MALE,12-Dec-12,M,15-Nov-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500026,MALE,9-Jun-80,M,15-Nov-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500068,FEMALE,8-Nov-92,M,15-Jul-19,couple with children
Individual,Active,Secunderabad,TELANGANA,500085,OTHER,8-Jul-70,M,15-Jul-19,couple with children
Individual,Active,Chinsurah,WEST BENGAL,712233,MALE,1-Dec-88,M,15-Jul-19,couple with children
Individual,Active,New Delhi,DELHI,110092,FEMALE,17-Aug-96,M,15-Jul-19,couple with children
Individual,Active,Guwahati,ASSAM,781006,MALE,2-Jun-82,M,15-Jul-19,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400068,FEMALE,15-May-78,M,15-Jul-19,couple with children
Individual,Active,Hyderabad,TELANGANA,500023,FEMALE,23-Jan-88,M,15-Jul-19,couple with children
Individual,Active,Hyderabad,TELANGANA,500032,MALE,21-Jul-91,M,15-Jul-19,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400051,FEMALE,20-Jan-77,M,15-Jul-19,couple with children
Individual,Active,Secunderabad,TELANGANA,500047,MALE,2-Mar-85,M,21-Jan-20,couple with children
Individual,Active,Hyderabad City,TELANGANA,500032,FEMALE,7-Mar-94,M,6-Dec-19,couple with children
Individual,Active,Secunderabad,TELANGANA,500049,MALE,31-Oct-92,M,30-Sep-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500090,MALE,6-May-84,M,30-Sep-18,couple with children
Individual,Active,Goa,MAHARASHTRA,403601,MALE,19-Aug-79,M,30-Sep-18,couple with children
Individual,Active,Gurgaon,HARYANA,123023,MALE,28-Sep-89,M,30-Sep-18,couple with children
Individual,Active,Guntur,ANDHRA PRADESH,522006,FEMALE,21-Dec-83,M,30-Sep-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500019,MALE,28-Jun-74,M,25-Feb-19,couple with children
Individual,Active,Karimnagar,TELANGANA,505001,MALE,14-Jul-92,M,25-Feb-19,couple with children
Individual,Active,Hyderabad,TELANGANA,500004,MALE,21-May-81,M,25-Feb-19,couple with children
Individual,Active,Bengaluru,KARNATAKA,560077,FEMALE,27-Oct-77,M,25-Feb-19,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400086,MALE,5-Apr-80,M,6-Oct-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500010,MALE,2-Mar-81,M,7-Oct-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500050,MALE,26-Jan-86,M,7-Oct-18,couple with children
Individual,Active,Bengaluru,KARNATAKA,560008,FEMALE,3-Sep-67,M,7-Oct-18,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400037,MALE,31-Dec-82,M,7-Oct-18,couple with children
Individual,Active,Thane,MAHARASHTRA,421202,MALE,29-Oct-86,M,7-Oct-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500038,MALE,26-May-89,M,7-Oct-18,couple with children
Individual,Active,Guntur,ANDHRA PRADESH,522002,MALE,22-Feb-90,M,7-Oct-18,couple with children
Individual,Active,Nalgonda,TELANGANA,508001,MALE,31-Aug-99,M,7-Oct-18,couple with children
Individual,Active,Guntur,ANDHRA PRADESH,522007,MALE,21-Oct-93,M,7-Oct-18,couple with children
Individual,Active,Vijayawada,ANDHRA PRADESH,520007,MALE,9-Aug-80,M,7-Oct-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500068,MALE,6-Jul-74,M,7-Oct-18,couple with children
Individual,Active,Ahmedabad,GUJARAT,380008,MALE,24-Feb-88,M,7-Oct-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500016,FEMALE,28-Mar-93,M,7-Oct-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500029,MALE,16-Sep-98,M,7-Oct-18,couple with children
Individual,Active,Bengaluru,KARNATAKA,560098,MALE,20-May-54,M,7-Oct-18,couple with children
Individual,Active,Bangalore,KARNATAKA,560100,MALE,2-Feb-72,M,7-Oct-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500008,MALE,2-Jun-69,M,7-Oct-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500017,MALE,4-Feb-92,M,7-Oct-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500072,FEMALE,2-Mar-87,M,7-Oct-18,couple with children
Individual,Active,Sangareddy,TELANGANA,502032,FEMALE,28-Dec-96,M,7-Oct-18,couple with children
Individual,Active,Sangareddy,TELANGANA,502032,MALE,4-Jan-79,M,7-Oct-18,couple with children
Individual,Active,Ambala,HARYANA,134112,FEMALE,19-Jul-90,M,7-Oct-18,couple with children
Individual,Active,Bangalore,KARNATAKA,560032,MALE,3-May-86,M,28-Jul-18,couple with children
Individual,Active,Tirupati,ANDHRA PRADESH,517501,MALE,21-Jun-87,M,28-Jul-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500056,FEMALE,24-Jun-96,M,28-Jul-18,couple with children
Individual,Active,Peddapalli,TELANGANA,505490,MALE,2-Feb-92,M,28-Jul-18,couple with children
Individual,Active,Secunderabad,TELANGANA,501504,MALE,12-Jan-94,M,28-Jul-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500056,MALE,21-Mar-88,M,28-Jul-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500047,MALE,15-Apr-92,M,28-Jul-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500059,MALE,9-Jul-84,M,28-Jul-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500087,MALE,10-May-59,M,28-Jul-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500064,FEMALE,28-Feb-94,M,28-Jul-18,couple with children
Individual,Active,Kakinada,ANDHRA PRADESH,533004,MALE,9-Feb-90,M,28-Jul-18,couple with children
Individual,Active,Bangalore,KARNATAKA,560029,MALE,18-Mar-73,M,28-Jul-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500016,MALE,8-Jun-98,M,28-Jul-18,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400005,MALE,20-May-68,M,13-Feb-19,couple with children
Individual,Active,Hyderabad,TELANGANA,500035,MALE,27-Mar-92,M,7-Dec-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500010,FEMALE,13-Aug-85,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500038,MALE,4-Jun-87,M,6-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500052,FEMALE,26-Dec-92,M,7-Dec-18,couple with children
Individual,Active,Sangareddy,TELANGANA,502032,FEMALE,10-Aug-87,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500089,MALE,14-Jan-84,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500029,FEMALE,29-Mar-88,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500084,MALE,15-Oct-87,M,7-Dec-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500055,MALE,15-Oct-60,M,6-Dec-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500017,MALE,27-Jan-84,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500019,FEMALE,25-Oct-64,M,7-Dec-18,couple with children
Individual,Active,Haveli,MAHARASHTRA,411057,FEMALE,15-Jul-89,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500028,MALE,20-Dec-72,M,7-Dec-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500017,MALE,12-Jun-69,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500084,MALE,19-Sep-90,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500008,MALE,18-Dec-87,M,7-Dec-18,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400026,FEMALE,13-Feb-82,M,7-Dec-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500080,FEMALE,24-Jul-78,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500034,MALE,14-Feb-90,M,7-Dec-18,couple with children
Individual,Active,Kurnool,ANDHRA PRADESH,518004,MALE,12-May-81,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500032,MALE,5-Sep-73,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500035,MALE,21-Oct-81,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500008,MALE,28-Jun-00,M,7-Dec-18,couple with children
Individual,Active,Chennai,TAMIL NADU,600043,MALE,12-Nov-46,M,7-Dec-18,couple with children
Individual,Active,Secunderabad,TELANGANA,500067,MALE,24-May-65,M,7-Dec-18,couple with children
Individual,Active,Hyderabad,TELANGANA,500079,FEMALE,30-Jul-96,M,28-Aug-19,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400091,MALE,10-Nov-83,M,29-Aug-19,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400102,MALE,4-Mar-82,M,29-Aug-19,couple with children
Individual,Active,Ahmedabad City,GUJARAT,380058,FEMALE,5-Dec-91,M,29-Aug-19,couple with children
Individual,Active,New Mumbai,MAHARASHTRA,410206,MALE,21-Oct-65,M,29-Aug-19,couple with children
Individual,Active,Pune City,MAHARASHTRA,411003,FEMALE,18-Mar-83,M,27-Aug-19,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400063,FEMALE,12-Nov-88,M,27-Aug-19,couple with children
Individual,Active,New Mumbai,MAHARASHTRA,400703,FEMALE,27-Jul-67,M,27-Aug-19,couple with children
Individual,Active,Mumbai,MAHARASHTRA,400059,MALE,16-Sep-78,M,27-Aug-19,couple with children
Individual,Active,Hyderabad,TELANGANA,500048,MALE,7-Sep-81,M,27-Aug-19,couple with children
Individual,Active,Kurnool,ANDHRA PRADESH,518002,MALE,6-Jan-92,M,27-Aug-19,Couple without children
Individual,Active,Mumbai,MAHARASHTRA,400067,FEMALE,4-Jan-82,M,27-Aug-19,Couple without children
Individual,Active,Thane,MAHARASHTRA,401202,FEMALE,16-Apr-86,M,27-Aug-19,Couple without children
Individual,Active,Mumbai,MAHARASHTRA,400072,MALE,19-Oct-93,M,27-Aug-19,Couple without children
Individual,Active,Mumbai,MAHARASHTRA,400034,MALE,17-Apr-60,M,27-Aug-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500018,MALE,31-Mar-89,M,8-Feb-19,Couple without children
Individual,Active,West Godavari,ANDHRA PRADESH,534101,MALE,12-Mar-93,M,8-Feb-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500058,MALE,18-Apr-77,M,8-Feb-19,Couple without children
Individual,Active,Jaipur,RAJASTHAN,302018,MALE,29-Aug-77,M,8-Feb-19,Couple without children
Individual,Active,Nizamabad,TELANGANA,503307,MALE,9-Dec-81,M,8-Feb-19,Couple without children
Individual,Active,Secunderabad,TELANGANA,500015,MALE,2-Mar-86,M,8-Feb-19,Couple without children
Individual,Active,Secunderabad,TELANGANA,500049,MALE,1-Jan-00,M,8-Feb-19,Couple without children
Individual,Active,Secunderabad,TELANGANA,500015,MALE,5-Mar-93,M,8-Feb-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500084,FEMALE,30-Aug-89,M,8-Feb-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500032,MALE,20-Nov-92,M,8-Feb-19,Couple without children
Individual,Active,Bangalore,NULL,NULL,MALE,3-Mar-84,M,8-Feb-19,Couple without children
Individual,Active,Bengaluru,KARNATAKA,560035,FEMALE,4-Feb-88,M,13-May-19,Couple without children
Individual,Active,Pune,MAHARASHTRA,411047,FEMALE,30-Jun-88,M,16-Feb-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500075,MALE,25-May-73,M,16-Feb-19,Couple without children
Individual,Active,Bhopal,MADHYA PRADESH,462038,FEMALE,5-Oct-73,M,9-Apr-19,Couple without children
Business,Active,Hyderabad,TELANGANA,500035,MALE,1-Jan-00,M,9-Apr-19,Couple without children
Individual,Active,New Delhi,DELHI,110025,MALE,1-Jan-84,M,9-Apr-19,Couple without children
Individual,Active,Madurai,TAMIL NADU,625020,MALE,22-Mar-86,M,9-Apr-19,Couple without children
Individual,Active,Sangareddy,TELANGANA,502032,MALE,25-Oct-87,M,9-Apr-19,Couple without children
Individual,Active,Thane,MAHARASHTRA,400610,MALE,30-Aug-85,M,16-Mar-19,Couple without children
Individual,Active,Kengeri,KARNATAKA,560060,MALE,16-Jul-85,M,16-Mar-19,Couple without children
Individual,Active,Chennai,TAMIL NADU,600036,MALE,10-Nov-78,M,16-Mar-19,Couple without children
Individual,Active,Sangli,MAHARASHTRA,415408,MALE,13-Dec-96,M,16-Mar-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500032,MALE,1-Apr-05,M,16-Mar-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500008,FEMALE,23-Sep-72,M,16-Mar-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500006,FEMALE,29-Aug-85,M,16-Mar-19,Couple without children
Individual,Active,Secunderabad,TELANGANA,500049,MALE,14-Aug-81,M,16-Mar-19,Couple without children
Individual,Active,Bengaluru,KARNATAKA,560001,FEMALE,3-Oct-81,M,16-Mar-19,Couple without children
Business,Active,Ahmedabad,GUJARAT,380015,Not Mention,1-Jan-00,M,16-Mar-19,Couple without children
Individual,Active,Secunderabad,TELANGANA,500072,MALE,14-Jun-86,M,16-Mar-19,Couple without children
Individual,Active,Bengaluru,KARNATAKA,560043,MALE,8-Nov-69,M,16-Mar-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500038,MALE,31-Jan-95,M,16-Mar-19,Couple without children
Individual,Active,Secunderabad,TELANGANA,500049,MALE,6-Mar-88,M,16-Mar-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500038,MALE,6-Aug-96,M,16-Mar-19,Couple without children
Individual,Active,Secunderabad,ANDHRA PRADESH,500007,FEMALE,28-Feb-95,M,16-Mar-18,Couple without children
Individual,Active,Cachar,ASSAM,788001,MALE,18-Apr-85,M,16-Mar-18,Couple without children
Individual,Active,Secunderabad,ANDHRA PRADESH,500072,FEMALE,23-Oct-91,M,17-Mar-18,Couple without children
Individual,Active,Secunderabad,ANDHRA PRADESH,500072,MALE,4-Apr-82,M,17-Mar-18,Couple without children
Individual,Active,Hyderabad City,TELANGANA,500006,MALE,1-Jan-99,M,20-Apr-18,Couple without children
Individual,Active,Secunderabad,TELANGANA,500010,FEMALE,16-Nov-79,M,17-Mar-18,Couple without children
Individual,Active,Bangalore,KARNATAKA,560038,FEMALE,6-Jan-83,M,17-Mar-18,Couple without children
Individual,Active,Hyderabad City,ANDHRA PRADESH,500057,FEMALE,20-Nov-94,M,17-Mar-18,Couple without children
Individual,Active,Hyderabad City,ANDHRA PRADESH,500032,MALE,20-Jan-92,M,17-Mar-18,Couple without children
Individual,Active,Hyderabad City,ANDHRA PRADESH,500004,MALE,5-Dec-98,M,17-Mar-18,Couple without children
Individual,Active,Hyderabad City,ANDHRA PRADESH,500018,FEMALE,3-Jul-81,M,17-Mar-18,Couple without children
Individual,Active,Hyderabad,TELANGANA,500068,MALE,10-Dec-88,M,26-Aug-18,Couple without children
Individual,Active,Hyderabad,TELANGANA,500081,MALE,6-Aug-90,M,26-Aug-18,Couple without children
Individual,Active,Hyderabad,TELANGANA,500039,FEMALE,10-Aug-76,M,26-Aug-18,Couple without children
Individual,Active,HYDERABAD,TELANGANA,500028,FEMALE,21-Jun-90,M,8-Dec-19,Couple without children
Individual,Active,Mumbai  East,MAHARASHTRA,400012,MALE,16-Mar-82,M,8-Dec-19,Couple without children
Individual,Active,Hyderabad,TELANGANA,500035,MALE,10-Nov-70,M,7-Sep-18,Couple without children
Individual,Active,24 Parganas,WEST BENGAL,700082,MALE,28-Mar-88,M,7-Sep-18,Couple without children
Individual,Active,Beed,MAHARASHTRA,431123,MALE,29-Apr-79,M,7-Sep-18,Couple without children
Individual,Active,Secunderabad,TELANGANA,500020,FEMALE,9-Jun-87,M,18-Mar-20,Couple without children
Individual,Active,New Mumbai,MAHARASHTRA,400706,MALE,24-May-68,M,18-Mar-20,Couple without children
Individual,Active,New Mumbai,MAHARASHTRA,400708,FEMALE,15-Mar-97,M,18-Mar-20,Couple without children
Individual,Active,Secunderabad,TELANGANA,500050,MALE,6-Jul-88,M,18-Mar-20,Couple without children
Individual,Active,Thane,MAHARASHTRA,401107,FEMALE,14-Aug-88,M,18-Mar-20,Couple without children
Individual,Active,Secunderabad,TELANGANA,500050,MALE,1-Jun-89,M,18-Mar-20,Couple without children
Individual,Active,Hyderabad,TELANGANA,500079,MALE,13-May-99,M,18-Mar-20,Couple without children
Individual,Active,Hyderabad City,TELANGANA,500034,MALE,23-Jan-94,M,18-Mar-20,Couple without children
Individual,Active,Mumbai,MAHARASHTRA,400019,MALE,2-Sep-93,M,18-Mar-20,Couple without children
Individual,Active,Secunderabad,TELANGANA,500011,MALE,26-Jan-65,M,18-Mar-20,Couple without children
Individual,Active,Hyderabad City,TELANGANA,500081,FEMALE,7-Sep-87,M,18-Mar-20,Couple without children
Individual,Active,Mumbai,MAHARASHTRA,400006,MALE,17-Jan-85,M,18-Mar-20,Couple without children
Individual,Active,Secunderabad,TELANGANA,500072,MALE,16-Dec-88,M,18-Mar-20,Couple without children
Individual,Active,Medak,TELANGANA,502103,MALE,30-May-01,M,18-Mar-20,Couple without children
Individual,Active,Secunderabad,TELANGANA,500072,MALE,19-Apr-91,M,4-Nov-18,Couple without children
Individual,Active,Secunderabad,TELANGANA,500083,MALE,15-Apr-87,M,4-Nov-18,Couple without children
